FECHA (YYMMDD),HORA (HHMM),Registros validados,Registros preliminares,Registros no validados,Unnamed: 5
181125,0,17.0,,,
181126,0,13.0,,,
181127,0,9.0,,,
181128,0,7.0,,,
181129,0,8.0,,,
181130,0,11.0,,,
181201,0,13.0,,,
181202,0,8.0,,,
181203,0,9.0,,,
181204,0,7.0,,,
181205,0,14.0,,,
181206,0,7.0,,,
181207,0,6.0,,,
181208,0,5.0,,,
181209,0,4.0,,,
181210,0,7.0,,,
181211,0,7.0,,,
181212,0,7.0,,,
181213,0,10.0,,,
181214,0,9.0,,,
181215,0,6.0,,,
181216,0,8.0,,,
181217,0,11.0,,,
181218,0,7.0,,,
181219,0,6.0,,,
181220,0,5.0,,,
181221,0,6.0,,,
181222,0,8.0,,,
181223,0,7.0,,,
181224,0,9.0,,,
181225,0,9.0,,,
181226,0,7.0,,,
181227,0,5.0,,,
181228,0,6.0,,,
181229,0,10.0,,,
181230,0,6.0,,,
181231,0,13.0,,,
190101,0,16.0,,,
190102,0,11.0,,,
190103,0,5.0,,,
190104,0,6.0,,,
190105,0,7.0,,,
190106,0,8.0,,,
190107,0,16.0,,,
190108,0,14.0,,,
190109,0,15.0,,,
190110,0,13.0,,,
190111,0,12.0,,,
190112,0,15.0,,,
190113,0,12.0,,,
190114,0,5.0,,,
190115,0,11.0,,,
190116,0,15.0,,,
190117,0,8.0,,,
190118,0,5.0,,,
190119,0,5.0,,,
190120,0,5.0,,,
190121,0,13.0,,,
190122,0,,,5.0,
190123,0,,,2.0,
190124,0,,,3.0,
190125,0,,,10.0,
190126,0,12.0,,,
190127,0,6.0,,,
190128,0,3.0,,,
190129,0,9.0,,,
190130,0,9.0,,,
190131,0,8.0,,,
190201,0,9.0,,,
190202,0,15.0,,,
190203,0,15.0,,,
190204,0,15.0,,,
190205,0,11.0,,,
190206,0,13.0,,,
190207,0,12.0,,,
190208,0,11.0,,,
190209,0,9.0,,,
190210,0,14.0,,,
190211,0,14.0,,,
190212,0,14.0,,,
190213,0,11.0,,,
190214,0,8.0,,,
190215,0,8.0,,,
190216,0,11.0,,,
190217,0,9.0,,,
190218,0,10.0,,,
190219,0,11.0,,,
190220,0,15.0,,,
190221,0,19.0,,,
190222,0,25.0,,,
190223,0,11.0,,,
190224,0,24.0,,,
190225,0,30.0,,,
190226,0,20.0,,,
190227,0,18.0,,,
190228,0,25.0,,,
190301,0,17.0,,,
190302,0,,,,
190303,0,18.0,,,
190304,0,16.0,,,
190305,0,21.0,,,
190306,0,23.0,,,
190307,0,25.0,,,
190308,0,16.0,,,
190309,0,17.0,,,
190310,0,20.0,,,
190311,0,11.0,,,
190312,0,20.0,,,
190313,0,26.0,,,
190314,0,23.0,,,
190315,0,27.0,,,
190316,0,17.0,,,
190317,0,12.0,,,
190318,0,22.0,,,
190319,0,44.0,,,
190320,0,23.0,,,
190321,0,25.0,,,
190322,0,16.0,,,
190323,0,15.0,,,
190324,0,16.0,,,
190325,0,46.0,,,
190326,0,58.0,,,
190327,0,38.0,,,
190328,0,27.0,,,
190329,0,17.0,,,
190330,0,28.0,,,
190331,0,13.0,,,
190401,0,17.0,,,
190402,0,11.0,,,
190403,0,15.0,,,
190404,0,14.0,,,
190405,0,14.0,,,
190406,0,17.0,,,
190407,0,24.0,,,
190408,0,17.0,,,
190409,0,26.0,,,
190410,0,18.0,,,
190411,0,13.0,,,
190412,0,26.0,,,
190413,0,26.0,,,
190414,0,20.0,,,
190415,0,16.0,,,
190416,0,44.0,,,
190417,0,26.0,,,
190418,0,27.0,,,
190419,0,31.0,,,
190420,0,17.0,,,
190421,0,49.0,,,
190422,0,47.0,,,
190423,0,90.0,,,
190424,0,191.0,,,
190425,0,204.0,,,
190426,0,72.0,,,
190427,0,64.0,,,
190428,0,29.0,,,
190429,0,25.0,,,
190430,0,29.0,,,
190501,0,54.0,,,
190502,0,46.0,,,
190503,0,101.0,,,
190504,0,63.0,,,
190505,0,24.0,,,
190506,0,44.0,,,
190507,0,65.0,,,
190508,0,132.0,,,
190509,0,51.0,,,
190510,0,30.0,,,
190511,0,15.0,,,
190512,0,23.0,,,
190513,0,57.0,,,
190514,0,81.0,,,
190515,0,,,55.0,
190516,0,,,,
190517,0,,15.0,,
190518,0,,9.0,,
190519,0,,12.0,,
190520,0,,11.0,,
190521,0,,7.0,,
190522,0,,8.0,,
190523,0,,,7.0,
190524,0,,,,
190525,0,38.0,,,
190526,0,54.0,,,
190527,0,96.0,,,
190528,0,140.0,,,
190529,0,135.0,,,
190530,0,98.0,,,
190531,0,126.0,,,
190601,0,159.0,,,
190602,0,102.0,,,
190603,0,151.0,,,
190604,0,113.0,,,
190605,0,87.0,,,
190606,0,38.0,,,
190607,0,26.0,,,
190608,0,63.0,,,
190609,0,48.0,,,
190610,0,56.0,,,
190611,0,61.0,,,
190612,0,123.0,,,
190613,0,71.0,,,
190614,0,82.0,,,
190615,0,82.0,,,
190616,0,80.0,,,
190617,0,109.0,,,
190618,0,88.0,,,
190619,0,72.0,,,
190620,0,164.0,,,
190621,0,83.0,,,
190622,0,47.0,,,
190623,0,53.0,,,
190624,0,43.0,,,
190625,0,42.0,,,
190626,0,54.0,,,
190627,0,132.0,,,
190628,0,138.0,,,
190629,0,91.0,,,
190630,0,75.0,,,
190701,0,55.0,,,
190702,0,81.0,,,
190703,0,111.0,,,
190704,0,182.0,,,
190705,0,33.0,,,
190706,0,138.0,,,
190707,0,259.0,,,
190708,0,164.0,,,
190709,0,216.0,,,
190710,0,142.0,,,
190711,0,199.0,,,
190712,0,214.0,,,
190713,0,175.0,,,
190714,0,95.0,,,
190715,0,53.0,,,
190716,0,106.0,,,
190717,0,108.0,,,
190718,0,54.0,,,
190719,0,49.0,,,
190720,0,79.0,,,
190721,0,64.0,,,
190722,0,44.0,,,
190723,0,47.0,,,
190724,0,43.0,,,
190725,0,85.0,,,
190726,0,35.0,,,
190727,0,70.0,,,
190728,0,126.0,,,
190729,0,156.0,,,
190730,0,66.0,,,
190731,0,69.0,,,
190801,0,45.0,,,
190802,0,31.0,,,
190803,0,24.0,,,
190804,0,38.0,,,
190805,0,82.0,,,
190806,0,27.0,,,
190807,0,62.0,,,
190808,0,62.0,,,
190809,0,24.0,,,
190810,0,80.0,,,
190811,0,44.0,,,
190812,0,51.0,,,
190813,0,118.0,,,
190814,0,102.0,,,
190815,0,78.0,,,
190816,0,78.0,,,
190817,0,51.0,,,
190818,0,118.0,,,
190819,0,158.0,,,
190820,0,29.0,,,
190821,0,45.0,,,
190822,0,94.0,,,
190823,0,92.0,,,
190824,0,66.0,,,
190825,0,74.0,,,
190826,0,34.0,,,
190827,0,77.0,,,
190828,0,44.0,,,
190829,0,30.0,,,
190830,0,28.0,,,
190831,0,61.0,,,
190901,0,46.0,,,
190902,0,75.0,,,
190903,0,39.0,,,
190904,0,46.0,,,
190905,0,60.0,,,
190906,0,128.0,,,
190907,0,76.0,,,
190908,0,36.0,,,
190909,0,103.0,,,
190910,0,99.0,,,
190911,0,29.0,,,
190912,0,35.0,,,
190913,0,53.0,,,
190914,0,26.0,,,
190915,0,30.0,,,
190916,0,15.0,,,
190917,0,14.0,,,
190918,0,27.0,,,
190919,0,17.0,,,
190920,0,19.0,,,
190921,0,23.0,,,
190922,0,22.0,,,
190923,0,14.0,,,
190924,0,14.0,,,
190925,0,23.0,,,
190926,0,79.0,,,
190927,0,56.0,,,
190928,0,23.0,,,
190929,0,21.0,,,
190930,0,27.0,,,
191001,0,36.0,,,
191002,0,50.0,,,
191003,0,32.0,,,
191004,0,18.0,,,
191005,0,23.0,,,
191006,0,27.0,,,
191007,0,16.0,,,
191008,0,15.0,,,
191009,0,15.0,,,
191010,0,38.0,,,
191011,0,26.0,,,
191012,0,17.0,,,
191013,0,20.0,,,
191014,0,33.0,,,
191015,0,24.0,,,
191016,0,27.0,,,
191017,0,13.0,,,
191018,0,16.0,,,
191019,0,14.0,,,
191020,0,18.0,,,
191021,0,26.0,,,
191022,0,24.0,,,
191023,0,30.0,,,
191024,0,20.0,,,
191025,0,17.0,,,
191026,0,13.0,,,
191027,0,28.0,,,
191028,0,46.0,,,
191029,0,19.0,,,
191030,0,20.0,,,
191031,0,23.0,,,
191101,0,15.0,,,
191102,0,8.0,,,
191103,0,13.0,,,
191104,0,15.0,,,
191105,0,10.0,,,
191106,0,14.0,,,
191107,0,15.0,,,
191108,0,19.0,,,
191109,0,12.0,,,
191110,0,11.0,,,
191111,0,13.0,,,
191112,0,7.0,,,
191113,0,8.0,,,
191114,0,11.0,,,
191115,0,11.0,,,
191116,0,14.0,,,
191117,0,16.0,,,
191118,0,11.0,,,
191119,0,16.0,,,
191120,0,17.0,,,
191121,0,15.0,,,
191122,0,23.0,,,
191123,0,24.0,,,
191124,0,9.0,,,
191125,0,16.0,,,
191126,0,15.0,,,
191127,0,13.0,,,
191128,0,14.0,,,
191129,0,13.0,,,
191130,0,17.0,,,
191201,0,15.0,,,
191202,0,13.0,,,
191203,0,14.0,,,
191204,0,10.0,,,
191205,0,12.0,,,
191206,0,16.0,,,
191207,0,9.0,,,
191208,0,6.0,,,
191209,0,7.0,,,
191210,0,14.0,,,
191211,0,13.0,,,
191212,0,12.0,,,
191213,0,10.0,,,
191214,0,10.0,,,
191215,0,9.0,,,
191216,0,11.0,,,
191217,0,12.0,,,
191218,0,14.0,,,
191219,0,13.0,,,
191220,0,12.0,,,
191221,0,9.0,,,
191222,0,16.0,,,
191223,0,13.0,,,
191224,0,15.0,,,
191225,0,9.0,,,
191226,0,15.0,,,
191227,0,8.0,,,
191228,0,15.0,,,
191229,0,13.0,,,
191230,0,9.0,,,
191231,0,21.0,,,
200101,0,14.0,,,
200102,0,6.0,,,
200103,0,5.0,,,
200104,0,7.0,,,
200105,0,8.0,,,
200106,0,10.0,,,
200107,0,14.0,,,
200108,0,16.0,,,
200109,0,14.0,,,
200110,0,10.0,,,
200111,0,8.0,,,
200112,0,5.0,,,
200113,0,7.0,,,
200114,0,11.0,,,
200115,0,9.0,,,
200116,0,9.0,,,
200117,0,6.0,,,
200118,0,7.0,,,
200119,0,5.0,,,
200120,0,5.0,,,
200121,0,,,4.0,
200122,0,,,,
200123,0,,,,
200124,0,,,7.0,
200125,0,5.0,,,
200126,0,6.0,,,
200127,0,7.0,,,
200128,0,10.0,,,
200129,0,10.0,,,
200130,0,5.0,,,
200131,0,5.0,,,
200201,0,10.0,,,
200202,0,10.0,,,
200203,0,13.0,,,
200204,0,15.0,,,
200205,0,23.0,,,
200206,0,28.0,,,
200207,0,27.0,,,
200208,0,22.0,,,
200209,0,13.0,,,
200210,0,7.0,,,
200211,0,6.0,,,
200212,0,7.0,,,
200213,0,9.0,,,
200214,0,9.0,,,
200215,0,11.0,,,
200216,0,9.0,,,
200217,0,11.0,,,
200218,0,12.0,,,
200219,0,12.0,,,
200220,0,16.0,,,
200221,0,26.0,,,
200222,0,17.0,,,
200223,0,5.0,,,
200224,0,8.0,,,
200225,0,9.0,,,
200226,0,10.0,,,
200227,0,7.0,,,
200228,0,10.0,,,
200229,0,7.0,,,
200301,0,4.0,,,
200302,0,5.0,,,
200303,0,13.0,,,
200304,0,9.0,,,
200305,0,12.0,,,
200306,0,11.0,,,
200307,0,9.0,,,
200308,0,9.0,,,
200309,0,21.0,,,
200310,0,,,,
200311,0,10.0,,,
200312,0,32.0,,,
200313,0,16.0,,,
200314,0,12.0,,,
200315,0,12.0,,,
200316,0,11.0,,,
200317,0,18.0,,,
200318,0,9.0,,,
200319,0,12.0,,,
200320,0,10.0,,,
200321,0,16.0,,,
200322,0,18.0,,,
200323,0,14.0,,,
200324,0,19.0,,,
200325,0,23.0,,,
200326,0,13.0,,,
200327,0,14.0,,,
200328,0,27.0,,,
200329,0,36.0,,,
200330,0,50.0,,,
200331,0,28.0,,,
200401,0,27.0,,,
200402,0,31.0,,,
200403,0,17.0,,,
200404,0,12.0,,,
200405,0,31.0,,,
200406,0,38.0,,,
200407,0,47.0,,,
200408,0,78.0,,,
200409,0,31.0,,,
200410,0,23.0,,,
200411,0,17.0,,,
200412,0,25.0,,,
200413,0,41.0,,,
200414,0,40.0,,,
200415,0,53.0,,,
200416,0,36.0,,,
200417,0,31.0,,,
200418,0,44.0,,,
200419,0,26.0,,,
200420,0,40.0,,,
200421,0,58.0,,,
200422,0,149.0,,,
200423,0,92.0,,,
200424,0,61.0,,,
200425,0,46.0,,,
200426,0,83.0,,,
200427,0,86.0,,,
200428,0,74.0,,,
200429,0,43.0,,,
200430,0,62.0,,,
200501,0,105.0,,,
200502,0,97.0,,,
200503,0,87.0,,,
200504,0,94.0,,,
200505,0,81.0,,,
200506,0,44.0,,,
200507,0,40.0,,,
200508,0,75.0,,,
200509,0,38.0,,,
200510,0,45.0,,,
200511,0,21.0,,,
200512,0,88.0,,,
200513,0,60.0,,,
200514,0,62.0,,,
200515,0,35.0,,,
200516,0,34.0,,,
200517,0,58.0,,,
200518,0,32.0,,,
200519,0,136.0,,,
200520,0,119.0,,,
200521,0,125.0,,,
200522,0,68.0,,,
200523,0,58.0,,,
200524,0,44.0,,,
200525,0,82.0,,,
200526,0,55.0,,,
200527,0,44.0,,,
200528,0,105.0,,,
200529,0,81.0,,,
200530,0,55.0,,,
200531,0,81.0,,,
200601,0,43.0,,,
200602,0,63.0,,,
200603,0,44.0,,,
200604,0,27.0,,,
200605,0,77.0,,,
200606,0,65.0,,,
200607,0,55.0,,,
200608,0,30.0,,,
200609,0,36.0,,,
200610,0,41.0,,,
200611,0,74.0,,,
200612,0,85.0,,,
200613,0,96.0,,,
200614,0,166.0,,,
200615,0,275.0,,,
200616,0,232.0,,,
200617,0,151.0,,,
200618,0,79.0,,,
200619,0,38.0,,,
200620,0,58.0,,,
200621,0,71.0,,,
200622,0,97.0,,,
200623,0,182.0,,,
200624,0,110.0,,,
200625,0,89.0,,,
200626,0,56.0,,,
200627,0,35.0,,,
200628,0,27.0,,,
200629,0,59.0,,,
200630,0,109.0,,,
200701,0,95.0,,,
200702,0,153.0,,,
200703,0,159.0,,,
200704,0,143.0,,,
200705,0,110.0,,,
200706,0,237.0,,,
200707,0,175.0,,,
200708,0,56.0,,,
200709,0,94.0,,,
200710,0,54.0,,,
200711,0,64.0,,,
200712,0,59.0,,,
200713,0,63.0,,,
200714,0,118.0,,,
200715,0,107.0,,,
200716,0,102.0,,,
200717,0,212.0,,,
200718,0,168.0,,,
200719,0,200.0,,,
200720,0,94.0,,,
200721,0,31.0,,,
200722,0,48.0,,,
200723,0,114.0,,,
200724,0,55.0,,,
200725,0,110.0,,,
200726,0,71.0,,,
200727,0,84.0,,,
200728,0,68.0,,,
200729,0,89.0,,,
200730,0,179.0,,,
200731,0,183.0,,,
200801,0,68.0,,,
200802,0,87.0,,,
200803,0,53.0,,,
200804,0,75.0,,,
200805,0,100.0,,,
200806,0,46.0,,,
200807,0,76.0,,,
200808,0,70.0,,,
200809,0,61.0,,,
200810,0,31.0,,,
200811,0,25.0,,,
200812,0,19.0,,,
200813,0,37.0,,,
200814,0,37.0,,,
200815,0,17.0,,,
200816,0,18.0,,,
200817,0,27.0,,,
200818,0,85.0,,,
200819,0,46.0,,,
200820,0,20.0,,,
200821,0,23.0,,,
200822,0,22.0,,,
200823,0,28.0,,,
200824,0,48.0,,,
200825,0,57.0,,,
200826,0,45.0,,,
200827,0,33.0,,,
200828,0,33.0,,,
200829,0,18.0,,,
200830,0,27.0,,,
200831,0,98.0,,,
200901,0,129.0,,,
200902,0,59.0,,,
200903,0,26.0,,,
200904,0,42.0,,,
200905,0,45.0,,,
200906,0,60.0,,,
200907,0,69.0,,,
200908,0,30.0,,,
200909,0,38.0,,,
200910,0,31.0,,,
200911,0,24.0,,,
200912,0,27.0,,,
200913,0,20.0,,,
200914,0,12.0,,,
200915,0,37.0,,,
200916,0,34.0,,,
200917,0,17.0,,,
200918,0,23.0,,,
200919,0,29.0,,,
200920,0,75.0,,,
200921,0,36.0,,,
200922,0,18.0,,,
200923,0,23.0,,,
200924,0,16.0,,,
200925,0,15.0,,,
200926,0,17.0,,,
200927,0,15.0,,,
200928,0,16.0,,,
200929,0,26.0,,,
200930,0,14.0,,,
201001,0,28.0,,,
201002,0,38.0,,,
201003,0,52.0,,,
201004,0,18.0,,,
201005,0,14.0,,,
201006,0,18.0,,,
201007,0,13.0,,,
201008,0,14.0,,,
201009,0,14.0,,,
201010,0,13.0,,,
201011,0,15.0,,,
201012,0,10.0,,,
201013,0,12.0,,,
201014,0,19.0,,,
201015,0,17.0,,,
201016,0,13.0,,,
201017,0,13.0,,,
201018,0,14.0,,,
201019,0,19.0,,,
201020,0,23.0,,,
201021,0,22.0,,,
201022,0,37.0,,,
201023,0,26.0,,,
201024,0,15.0,,,
201025,0,11.0,,,
201026,0,13.0,,,
201027,0,17.0,,,
201028,0,19.0,,,
201029,0,17.0,,,
201030,0,10.0,,,
201031,0,16.0,,,
201101,0,10.0,,,
201102,0,14.0,,,
201103,0,8.0,,,
201104,0,11.0,,,
201105,0,11.0,,,
